COMMODITY,VARIETY,ARRIVAL_DATE,MODAL_PRICE
Pointed gourd (Parval),Other,03/03/2003,2100.0
Pointed gourd (Parval),Other,04/03/2003,2050.0
Pointed gourd (Parval),Other,05/03/2003,1950.0
Pointed gourd (Parval),Other,06/03/2003,1950.0
Pointed gourd (Parval),Other,07/03/2003,1950.0
Pointed gourd (Parval),Other,10/03/2003,1950.0
Pointed gourd (Parval),Other,11/03/2003,1950.0
Pointed gourd (Parval),Other,13/03/2003,1950.0
Pointed gourd (Parval),Other,15/03/2003,1825.0
Pointed gourd (Parval),Other,17/03/2003,1850.0
Pointed gourd (Parval),Other,20/03/2003,1825.0
Pointed gourd (Parval),Other,21/03/2003,1700.0
Pointed gourd (Parval),Other,24/03/2003,1825.0
Pointed gourd (Parval),Other,25/03/2003,1625.0
Pointed gourd (Parval),Other,26/03/2003,1725.0
Pointed gourd (Parval),Other,27/03/2003,1650.0
Pointed gourd (Parval),Other,28/03/2003,1775.0
Pointed gourd (Parval),Other,29/03/2003,1650.0
Pointed gourd (Parval),Other,31/03/2003,1650.0
Pointed gourd (Parval),Other,01/04/2003,1450.0
Pointed gourd (Parval),Other,02/04/2003,1550.0
Pointed gourd (Parval),Other,04/04/2003,1575.0
Pointed gourd (Parval),Other,05/04/2003,1575.0
Pointed gourd (Parval),Other,07/04/2003,1550.0
Pointed gourd (Parval),Other,08/04/2003,1550.0
Pointed gourd (Parval),Other,09/04/2003,1600.0
Pointed gourd (Parval),Other,10/04/2003,1600.0
Pointed gourd (Parval),Other,16/04/2003,2050.0
Pointed gourd (Parval),Other,17/04/2003,1925.0
Pointed gourd (Parval),Other,19/04/2003,15500.0
Pointed gourd (Parval),Other,21/04/2003,1450.0
Pointed gourd (Parval),Other,22/04/2003,1325.0
Pointed gourd (Parval),Other,23/04/2003,1175.0
Pointed gourd (Parval),Other,24/04/2003,1250.0
Pointed gourd (Parval),Other,25/04/2003,1375.0
Pointed gourd (Parval),Other,28/04/2003,1375.0
Pointed gourd (Parval),Other,30/04/2003,1237.0
